test_idx,y_true,seq_to_seq,seq_to_clin,clin_to_seq,clin_to_clin
2084,1,1.0,0.0,1.0,0.0
1170,1,1.0,0.0,1.0,0.0
5069,0,0.020761,0.979239,0.064782,0.935218
1989,1,1.0,0.0,0.0,1.0
1114,1,1.0,0.0,1.0,0.0
2961,1,0.999983,1.7e-05,1.0,0.0
2580,0,1.0,0.0,0.0,1.0
850,1,0.003715,0.996285,0.999999,1e-06
1892,1,1.0,0.0,0.0,1.0
5074,0,0.105407,0.894593,0.258541,0.741459
4175,0,1.0,0.0,1.0,0.0
4330,1,0.999995,5e-06,1.0,0.0
2410,1,1.0,0.0,0.0,1.0
16,0,1.0,0.0,0.0,1.0
1051,1,1.0,0.0,1.0,0.0
431,1,1.0,0.0,0.0,1.0
2600,1,1.0,0.0,1.0,0.0
707,0,0.000173,0.999827,3.5e-05,0.999965
160,1,1.0,0.0,0.0,1.0
102,0,1.0,0.0,0.0,1.0
4803,1,0.999909,9.1e-05,1.0,0.0
3432,1,0.998512,0.001488,1.0,0.0
5897,1,1.0,0.0,0.0,1.0
37,1,1.0,0.0,0.0,1.0
2457,0,1.4e-05,0.999986,0.0,1.0
4561,0,1.0,0.0,0.0,1.0
6092,0,0.272492,0.727508,0.468604,0.531396
4498,1,1.0,0.0,1.0,0.0
3916,1,1.0,0.0,0.0,1.0
2449,1,0.177608,0.822392,1.0,0.0
4521,1,1.0,0.0,1.0,0.0
2152,1,1.0,0.0,0.0,1.0
2709,0,0.000207,0.999793,4.4e-05,0.999956
371,1,1.0,0.0,1.0,0.0
1897,0,1.0,0.0,0.0,1.0
2466,0,6.7e-05,0.999933,8e-06,0.999992
5389,1,1.0,0.0,0.0,1.0
5508,1,0.999999,1e-06,1.0,0.0
71,1,1.0,0.0,1.0,0.0
2847,1,1.0,0.0,0.0,1.0
2126,1,1.0,0.0,1.0,0.0
917,1,1.0,0.0,1.0,0.0
876,1,0.999983,1.7e-05,1.0,0.0
4376,1,1.0,0.0,1.0,0.0
5604,1,0.967075,0.032925,0.999994,6e-06
5868,1,1.0,0.0,0.0,1.0
1299,1,1.0,0.0,1.0,0.0
4114,1,1.0,0.0,1.0,0.0
5119,1,1.0,0.0,0.0,1.0
5844,1,0.999972,2.8e-05,0.0,1.0
6144,1,0.999995,5e-06,1.0,0.0
1370,1,1.0,0.0,1.0,0.0
3340,1,1.0,0.0,0.0,1.0
2861,0,1.0,0.0,0.0,1.0
5553,1,1.0,0.0,1.0,0.0
1668,1,1.0,0.0,1.0,0.0
2368,1,1.0,0.0,1.0,0.0
1407,1,1.0,0.0,1.0,0.0
2216,1,1.0,0.0,1.0,0.0
3351,1,1.0,0.0,1.0,0.0
3450,1,0.999988,1.2e-05,1.0,0.0
4877,1,0.999904,9.6e-05,1.0,0.0
5160,0,0.860924,0.139076,0.860648,0.139352
4199,1,1.0,0.0,1.0,0.0
3119,1,1.0,0.0,0.0,1.0
1438,1,1.0,0.0,1.0,0.0
2925,0,0.917449,0.082551,0.89829,0.10171
6027,0,0.709334,0.290666,0.770859,0.229141
3883,1,1.0,0.0,0.0,1.0
3938,1,1.0,0.0,1.0,0.0
237,1,1.0,0.0,1.0,0.0
2869,0,1.0,0.0,0.0,1.0
5645,0,1.0,0.0,0.0,1.0
973,1,1.0,0.0,1.0,0.0
2846,1,1.0,0.0,1.0,0.0
2242,1,1.0,0.0,1.0,0.0
4042,1,0.999978,2.2e-05,1.0,0.0
4411,1,1.0,0.0,1.0,0.0
1647,1,1.0,0.0,1.0,0.0
5186,1,0.031972,0.968028,0.098011,0.901989
2542,0,2e-06,0.999998,0.0,1.0
1630,1,1.0,0.0,0.0,1.0
5038,1,0.999686,0.000313,1.0,0.0
1753,1,1.0,0.0,1.0,0.0
3082,0,0.891352,0.108648,0.880354,0.119646
5521,1,0.999994,6e-06,1.0,0.0
5806,1,1.0,0.0,1.0,0.0
4827,1,0.999995,5e-06,1.0,0.0
5817,1,6.9e-05,0.999931,0.29967,0.70033
4463,1,1.0,0.0,1.0,0.0
4704,1,0.999993,7e-06,1.0,0.0
1324,1,1.0,0.0,1.0,0.0
1637,0,1.0,0.0,0.0,1.0
2558,0,0.001096,0.998904,0.915001,0.084999
1820,1,1.0,0.0,1.0,0.0
1410,1,1.0,0.0,1.0,0.0
636,1,1.0,0.0,0.0,1.0
5288,1,1.0,0.0,1.0,0.0
4728,1,1.0,0.0,0.0,1.0
4462,1,1.0,0.0,1.0,0.0
1834,1,1.0,0.0,0.0,1.0
1756,1,1.0,0.0,0.0,1.0
1780,1,1.0,0.0,1.0,0.0
1614,0,1.0,0.0,0.0,1.0
6174,1,0.99995,5e-05,1.0,0.0
1420,1,1.0,0.0,1.0,0.0
2958,1,0.464492,0.535508,0.99999,1e-05
6200,1,0.999976,2.4e-05,1.0,0.0
2019,1,1.0,0.0,0.0,1.0
1257,1,1.0,0.0,0.0,1.0
4397,1,1.0,0.0,1.0,0.0
1200,1,1.0,0.0,1.0,0.0
773,1,1.0,0.0,1.0,0.0
4907,1,1.0,0.0,1.0,0.0
1673,1,1.0,0.0,1.0,0.0
580,0,0.000157,0.999843,3e-05,0.99997
5287,1,1.0,0.0,1.0,0.0
4182,1,1.0,0.0,1.0,0.0
3242,0,1.0,0.0,0.0,1.0
2351,1,1.0,0.0,1.0,0.0
5668,1,1.0,0.0,0.0,1.0
2012,1,1.0,0.0,1.0,0.0
5345,1,1.0,0.0,1.0,0.0
2774,0,9.1e-05,0.999909,1.3e-05,0.999987
1190,1,1.0,0.0,1.0,0.0
1297,1,1.0,0.0,1.0,0.0
1898,1,1.0,0.0,0.0,1.0
2369,1,1.0,0.0,1.0,0.0
1665,1,1.0,0.0,1.0,0.0
1696,1,1.0,0.0,0.0,1.0
5532,1,1.0,0.0,1.0,0.0
5124,1,1.0,0.0,0.0,1.0
2770,1,1.0,0.0,0.0,1.0
